codigo_oem,titulo,descripcion_larga,caracteristicas,categoria,subcategoria,marca,modelo,anio,precio,stock,imagen_url,etiquetas
AIR-COP-16,"Airbag Copiloto Seat Ibiza 2009 - Original | Envío Gratis","Airbag copiloto original Seat Ibiza 2009. Ideal para reemplazo. Envío gratis a todo México.","• Original Seat\n• Año 2009\n• Código OEM: 95911-FH100\n• Garantía: 6 meses","Airbags","Copiloto","Seat","Ibiza","2009",2300,3,"https://i.imgur.com/seat-ibiza-copiloto.jpg","airbag, copiloto, seat, ibiza, 2009, original, envio gratis"
MOD-SRS-16,"Módulo SRS Skoda Fabia 2008 - Restaurado | Envío Gratis","Módulo SRS restaurado para Skoda Fabia 2008. Reprogramado y testeado. Envío gratis a todo México.","• Restaurado\n• Año 2008\n• Código OEM: 6Q0-959-655-A\n• Garantía: 6 meses","Airbags","Modulo","Skoda","Fabia","2008",2500,7,"https://i.imgur.com/skoda-fabia-modulo.jpg","modulo, srs, skoda, fabia, 2008, restaurado, envio gratis"
SEN-IMP-16,"Sensor Impacto Opel Corsa 2007 - Nuevo | Envío Gratis","Sensor de impacto nuevo para Opel Corsa 2007. Ideal para reemplazo. Envío gratis a todo México.","• Nuevo\n• Año 2007\n• Código OEM: 551-959-655\n• Garantía: 12 meses","Airbags","Sensor","Opel","Corsa","2007",1100,9,"https://i.imgur.com/opel-corsa-sensor.jpg","sensor, impacto, opel, corsa, 2007, nuevo, envio gratis"
VOL-CIV-15,"Airbag Volante Saab 9-3 2006 - Original | Envío Gratis","Airbag volante original Saab 9-3 2006. Ideal para reemplazo. Envío gratis a todo México.","• Original Saab\n• Año 2006\n• Código OEM: 127-880-201\n• Garantía: 6 meses","Airbags","Volante","Saab","9-3","2006",2700,5,"https://i.imgur.com/saab-9-3-volante.jpg","airbag, volante, saab, 9-3, 2006, original, envio gratis"
AIR-COP-15,"Airbag Copiloto Jaguar X-Type 2005 - Original | Envío Gratis","Airbag copiloto original Jaguar X-Type 2005. Ideal para reemplazo. Envío gratis a todo México.","• Original Jaguar\n• Año 2005\n• Código OEM: 127-880-202\n• Garantía: 6 meses","Airbags","Copiloto","Jaguar","X-Type","2005",3000,3,"https://i.imgur.com/jaguar-x-type-copiloto.jpg","airbag, copiloto, jaguar, x-type, 2005, original, envio gratis"
MOD-SRS-15,"Módulo SRS Mini Cooper 2004 - Restaurado | Envío Gratis","Módulo SRS restaurado para Mini Cooper 2004. Reprogramado y testeado. Envío gratis a todo México.","• Restaurado\n• Año 2004\n• Código OEM: 65-77-6-984-101\n• Garantía: 6 meses","Airbags","Modulo","Mini","Cooper","2004",2600,7,"https://i.imgur.com/mini-cooper-modulo.jpg","modulo, srs, mini, cooper, 2004, restaurado, envio gratis"
SEN-IMP-15,"Sensor Impacto Mini Cooper 2003 - Nuevo | Envío Gratis","Sensor de impacto nuevo para Mini Cooper 2003. Ideal para reemplazo. Envío gratis a todo México.","• Nuevo\n• Año 2003\n• Código OEM: 65-77-6-984-102\n• Garantía: 12 meses","Airbags","Sensor","Mini","Cooper","2003",1200,9,"https://i.imgur.com/mini-cooper-sensor.jpg","sensor, impacto, mini, cooper, 2003, nuevo, envio gratis"
VOL-CIV-14,"Airbag Volante Pontiac G5 2008 - Original | Envío Gratis","Airbag volante original Pontiac G5 2008. Ideal para reemplazo. Envío gratis a todo México.","• Original Pontiac\n• Año 2008\n• Código OEM: 95910-FE100\n• Garantía: 6 meses","Airbags","Volante","Pontiac","G5","2008",2500,5,"https://i.imgur.com/pontiac-g5-volante.jpg","airbag, volante, pontiac, g5, 2008, original, envio gratis"
AIR-COP-14,"Airbag Copiloto Saturn Ion 2007 - Original | Envío Gratis","Airbag copiloto original Saturn Ion 2007. Ideal para reemplazo. Envío gratis a todo México.","• Original Saturn\n• Año 2007\n• Código OEM: 95911-FE100\n• Garantía: 6 meses","Airbags","Copiloto","Saturn","Ion","2007",1200,8,"https://i.imgur.com/saturn-ion-copiloto.jpg","airbag, copiloto, saturn, ion, 2007, original, envio gratis"
MOD-SRS-14,"Módulo SRS Saab 9-3 2006 - Restaurado | Envío Gratis","Módulo SRS restaurado para Saab 9-3 2006. Reprogramado y testeado. Envío gratis a todo México.","• Restaurado\n• Año 2006\n• Código OEM: 127-959-655\n• Garantía: 6 meses","Airbags","Modulo","Saab","9-3","2006",2700,7,"https://i.imgur.com/saab-9-3-modulo.jpg","modulo, srs, saab, 9-3, 2006, restaurado, envio gratis"
SEN-IMP-14,"Sensor Impacto Jaguar X-Type 2005 - Nuevo | Envío Gratis","Sensor de impacto nuevo para Jaguar X-Type 2005. Ideal para reemplazo. Envío gratis a todo México.","• Nuevo\n• Año 2005\n• Código OEM: C2C-959-655\n• Garantía: 12 meses","Airbags","Sensor","Jaguar","X-Type","2005",1500,9,"https://i.imgur.com/jaguar-x-type-sensor.jpg","sensor, impacto, jaguar, x-type, 2005, nuevo, envio gratis"
VOL-CIV-13,"Airbag Volante Mini Cooper 2004 - Original | Envío Gratis","Airbag volante original Mini Cooper 2004. Ideal para reemplazo. Envío gratis a todo México.","• Original Mini\n• Año 2004\n• Código OEM: 65-77-6-984-101\n• Garantía: 6 meses","Airbags","Volante","Mini","Cooper","2004",2600,5,"https://i.imgur.com/mini-cooper-volante.jpg","airbag, volante, mini, cooper, 2004, original, envio gratis"
AIR-COP-13,"Airbag Copiloto Mini Cooper 2003 - Original | Envío Gratis","Airbag copiloto original Mini Cooper 2003. Ideal para reemplazo. Envío gratis a todo México.","• Original Mini\n• Año 2003\n• Código OEM: 65-77-6-984-102\n• Garantía: 6 meses","Airbags","Copiloto","Mini","Cooper","2003",1200,3,"https://i.imgur.com/mini-cooper-copiloto.jpg","airbag, copiloto, mini, cooper, 2003, original, envio gratis"
MOD-SRS-13,"Módulo SRS Pontiac G5 2008 - Restaurado | Envío Gratis","Módulo SRS restaurado para Pontiac G5 2008. Reprogramado y testeado. Envío gratis a todo México.","• Restaurado\n• Año 2008\n• Código OEM: 95910-FE100\n• Garantía: 6 meses","Airbags","Modulo","Pontiac","G5","2008",2500,7,"https://i.imgur.com/pontiac-g5-modulo.jpg","modulo, srs, pontiac, g5, 2008, restaurado, envio gratis"
SEN-IMP-13,"Sensor Impacto Pontiac G5 2007 - Nuevo | Envío Gratis","Sensor de impacto nuevo para Pontiac G5 2007. Ideal para reemplazo. Envío gratis a todo México.","• Nuevo\n• Año 2007\n• Código OEM: 95910-FE100\n• Garantía: 12 meses","Airbags","Sensor","Pontiac","G5","2007",1100,9,"https://i.imgur.com/pontiac-g5-sensor.jpg","sensor, impacto, pontiac, g5, 2007, nuevo, envio gratis"
