codigo_oem,titulo,descripcion_larga,caracteristicas,categoria,subcategoría,marca,modelo,anio,precio,stock,imagen_url,etiquetas
A19,"Airbag Volante Honda BRV 2018-2021 - Original | Envío Gratis","Airbag volante original Honda BRV 2018-2021. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Honda\n• BRV 2018-2021\n• Código OEM: 77900-TZ3-A19\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Honda","BRV","2018-2021",2320,1,"https://i.imgur.com/honda-brv-volante-2018.jpg","airbag, volante, honda, brv, 2018-2021, original, restaurado, envio gratis"
A20,"Airbag Volante Honda Accord 2013-2017 - Original | Envío Gratis","Airbag volante original Honda Accord 2013-2017. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Honda\n• Accord 2013-2017\n• Código OEM: 77900-TZ3-A20\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Honda","Accord","2013-2017",4248,1,"https://i.imgur.com/honda-accord-volante-2013.jpg","airbag, volante, honda, accord, 2013-2017, original, restaurado, envio gratis"
A21,"Airbag Volante Honda Fit 2015-2020 y Honda HR-V 2015-2017 - Original | Envío Gratis","Airbag volante original Honda Fit 2015-2020 y Honda HR-V 2015-2017. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Honda\n• Fit 2015-2020 y HR-V 2015-2017\n• Código OEM: 77900-TZ3-A21\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Honda","Fit, HR-V","2015-2020, 2015-2017",5311,1,"https://i.imgur.com/honda-fit-hrv-volante-2015.jpg","airbag, volante, honda, fit, hrv, 2015-2020, 2015-2017, original, restaurado, envio gratis"
A22,"Airbag Volante Honda Civic 2016-2021 - Original | Envío Gratis","Airbag volante original Honda Civic 2016-2021. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Honda\n• Civic 2016-2021\n• Código OEM: 77900-TZ3-A22\n• Color: negro\n• Garantía: 6 meses\n• 2 piezas (2P)","Airbags","Volante","Honda","Civic","2016-2021",5311,1,"https://i.imgur.com/honda-civic-volante-2016.jpg","airbag, volante, honda, civic, 2016-2021, original, restaurado, envio gratis"
A23,"Airbag Volante Honda Pilot 2015 - Original | Envío Gratis","Airbag volante original Honda Pilot 2015. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Honda\n• Pilot 2015\n• Código OEM: 77900-TZ3-A23\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Honda","Pilot","2015",4250,1,"https://i.imgur.com/honda-pilot-volante-2015.jpg","airbag, volante, honda, pilot, 2015, original, restaurado, envio gratis"
A24,"Airbag Volante Honda Civic 2022-2026 - Original | Envío Gratis","Airbag volante original Honda Civic 2022-2026. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Honda\n• Civic 2022-2026\n• Código OEM: 77900-TZ3-A24\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Honda","Civic","2022-2026",5950,1,"https://i.imgur.com/honda-civic-volante-2022.jpg","airbag, volante, honda, civic, 2022-2026, original, restaurado, envio gratis"
A25,"Airbag Volante Honda Accord 2018-2021 - Original | Envío Gratis","Airbag volante original Honda Accord 2018-2021. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Honda\n• Accord 2018-2021\n• Código OEM: 77900-TZ3-A25\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Honda","Accord","2018-2021",5311,1,"https://i.imgur.com/honda-accord-volante-2018.jpg","airbag, volante, honda, accord, 2018-2021, original, restaurado, envio gratis"
A26,"Airbag Volante GMC Sierra 2019-2024 - Original | Envío Gratis","Airbag volante original GMC Sierra 2019-2024. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original GMC\n• Sierra 2019-2024\n• Código OEM: 77900-TZ3-A26\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","GMC","Sierra","2019-2024",5311,1,"https://i.imgur.com/gmc-sierra-volante-2019.jpg","airbag, volante, gmc, sierra, 2019-2024, original, restaurado, envio gratis"
A27,"Airbag Volante Hyundai Elantra 2017-2018 - Original | Envío Gratis","Airbag volante original Hyundai Elantra 2017-2018. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Hyundai\n• Elantra 2017-2018\n• Código OEM: 77900-TZ3-A27\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Hyundai","Elantra","2017-2018",5311,1,"https://i.imgur.com/hyundai-elantra-volante-2017.jpg","airbag, volante, hyundai, elantra, 2017-2018, original, restaurado, envio gratis"
A28,"Airbag Volante Jeep Wrangler o Rubicón 2015-2018 - Original | Envío Gratis","Airbag volante original Jeep Wrangler o Rubicón 2015-2018. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Jeep\n• Wrangler o Rubicón 2015-2018\n• Código OEM: 77900-TZ3-A28\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Jeep","Wrangler, Rubicón","2015-2018",5311,1,"https://i.imgur.com/jeep-wrangler-rubicon-volante-2015.jpg","airbag, volante, jeep, wrangler, rubicon, 2015-2018, original, restaurado, envio gratis"
A29,"Airbag Volante Jeep Cherokee 2014-2018 - Original | Envío Gratis","Airbag volante original Jeep Cherokee 2014-2018. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Jeep\n• Cherokee 2014-2018\n• Código OEM: 77900-TZ3-A29\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Jeep","Cherokee","2014-2018",4675,1,"https://i.imgur.com/jeep-cherokee-volante-2014.jpg","airbag, volante, jeep, cherokee, 2014-2018, original, restaurado, envio gratis"
A30,"Airbag Volante Jeep Compass 2017-2020 - Original | Envío Gratis","Airbag volante original Jeep Compass 2017-2020. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Jeep\n• Compass 2017-2020\n• Código OEM: 77900-TZ3-A30\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Jeep","Compass","2017-2020",5311,1,"https://i.imgur.com/jeep-compass-volante-2017.jpg","airbag, volante, jeep, compass, 2017-2020, original, restaurado, envio gratis"
A31,"Airbag Volante Jeep Wrangler Gladiator 2018-2022 - Original | Envío Gratis","Airbag volante original Jeep Wrangler Gladiator 2018-2022. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Jeep\n• Wrangler Gladiator 2018-2022\n• Código OEM: 77900-TZ3-A31\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Jeep","Wrangler Gladiator","2018-2022",5311,1,"https://i.imgur.com/jeep-wrangler-gladiator-volante-2018.jpg","airbag, volante, jeep, wrangler, gladiator, 2018-2022, original, restaurado, envio gratis"
A32,"Airbag Volante Jeep Wrangler Gladiator - Original | Envío Gratis","Airbag volante original Jeep Wrangler Gladiator. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Jeep\n• Wrangler Gladiator\n• Código OEM: 77900-TZ3-A32\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Jeep","Wrangler Gladiator","2018-2022",4226,1,"https://i.imgur.com/jeep-wrangler-gladiator-volante-2018.jpg","airbag, volante, jeep, wrangler, gladiator, original, restaurado, envio gratis"
A33,"Airbag Volante Kia Carnival 2007 - Original | Envío Gratis","Airbag volante original Kia Carnival 2007. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Kia\n• Carnival 2007\n• Código OEM: 77900-TZ3-A33\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Kia","Carnival","2007",1160,1,"https://i.imgur.com/kia-carnival-volante-2007.jpg","airbag, volante, kia, carnival, 2007, original, restaurado, envio gratis"
A34,"Airbag Volante Kia Óptima y Kia Soul 2013-2015 - Original | Envío Gratis","Airbag volante original Kia Óptima y Kia Soul 2013-2015. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Kia\n• Óptima y Soul 2013-2015\n• Código OEM: 77900-TZ3-A34\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Kia","Óptima, Soul","2013-2015",2123,1,"https://i.imgur.com/kia-optima-soul-volante-2013.jpg","airbag, volante, kia, optima, soul, 2013-2015, original, restaurado, envio gratis"
A35,"Airbag Volante Mini Cooper 2006-2009 - Original | Envío Gratis","Airbag volante original Mini Cooper 2006-2009. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Mini\n• Cooper 2006-2009\n• Código OEM: 77900-TZ3-A35\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Mini","Cooper","2006-2009",1160,1,"https://i.imgur.com/mini-cooper-volante-2006.jpg","airbag, volante, mini, cooper, 2006-2009, original, restaurado, envio gratis"
A36,"Airbag Volante Nissan Frontier 2014-2020 - Original | Envío Gratis","Airbag volante original Nissan Frontier 2014-2020. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Nissan\n• Frontier 2014-2020\n• Código OEM: 77900-TZ3-A36\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Nissan","Frontier","2014-2020",5311,1,"https://i.imgur.com/nissan-frontier-volante-2014.jpg","airbag, volante, nissan, frontier, 2014-2020, original, restaurado, envio gratis"
A37,"Airbag Volante Nissan Versa 2012-2019 - Original | Envío Gratis","Airbag volante original Nissan Versa 2012-2019. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Nissan\n• Versa 2012-2019\n• Código OEM: 77900-TZ3-A37\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Nissan","Versa","2012-2019",3186,1,"https://i.imgur.com/nissan-versa-volante-2012.jpg","airbag, volante, nissan, versa, 2012-2019, original, restaurado, envio gratis"
A38,"Airbag Volante Nissan Frontier 2016-2020 y Altima 2013-2018 - Original | Envío Gratis","Airbag volante original Nissan Frontier 2016-2020 y Altima 2013-2018. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Nissan\n• Frontier 2016-2020 y Altima 2013-2018\n• Código OEM: 77900-TZ3-A38\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Nissan","Frontier, Altima","2013-2018, 2016-2020",5311,1,"https://i.imgur.com/nissan-frontier-altima-volante-2016.jpg","airbag, volante, nissan, frontier, altima, 2013-2018, 2016-2020, original, restaurado, envio gratis"
A39,"Airbag Volante Nissan Kicks 2018-2022, Sentra 2020-2024 y Versa 2020-2024 - Original | Envío Gratis","Airbag volante original Nissan Kicks 2018-2022, Sentra 2020-2024 y Versa 2020-2024. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Nissan\n• Kicks 2018-2022, Sentra 2020-2024, Versa 2020-2024\n• Código OEM: 77900-TZ3-A39\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Nissan","Kicks, Sentra, Versa","2018-2022, 2020-2024, 2020-2024",5311,1,"https://i.imgur.com/nissan-kicks-sentra-versa-volante-2018.jpg","airbag, volante, nissan, kicks, sentra, versa, 2018-2022, 2020-2024, original, restaurado, envio gratis"
A40,"Airbag Volante Toyota Tacoma, Tundra, 4Runner 2024-2026 - Original | Envío Gratis","Airbag volante original Toyota Tacoma, Tundra y 4Runner 2024-2026. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Toyota\n• Tacoma, Tundra, 4Runner 2024-2026\n• Código OEM: 77900-TZ3-A40\n• Color: negro\n• Garantía: 6 meses\n• 2 piezas (2P)","Airbags","Volante","Toyota","Tacoma, Tundra, 4Runner","2024-2026",6400,1,"https://i.imgur.com/toyota-tacoma-tundra-4runner-volante-2024.jpg","airbag, volante, toyota, tacoma, tundra, 4runner, 2024-2026, original, restaurado, envio gratis"
A41,"Airbag Volante Toyota Corolla 2020-2024 - Original | Envío Gratis","Airbag volante original Toyota Corolla 2020-2024. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Toyota\n• Corolla 2020-2024\n• Código OEM: 77900-TZ3-A41\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Toyota","Corolla","2020-2024",5311,1,"https://i.imgur.com/toyota-corolla-volante-2020.jpg","airbag, volante, toyota, corolla, 2020-2024, original, restaurado, envio gratis"
A42,"Airbag Volante Toyota Tacoma 2015-2023 - Original | Envío Gratis","Airbag volante original Toyota Tacoma 2015-2023. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Toyota\n• Tacoma 2015-2023\n• Código OEM: 77900-TZ3-A42\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Toyota","Tacoma","2015-2023",3662,1,"https://i.imgur.com/toyota-tacoma-volante-2015.jpg","airbag, volante, toyota, tacoma, 2015-2023, original, restaurado, envio gratis"
A43,"Airbag Volante Toyota Corolla 2014-2019 - Original | Envío Gratis","Airbag volante original Toyota Corolla 2014-2019. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Toyota\n• Corolla 2014-2019\n• Código OEM: 77900-TZ3-A43\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Toyota","Corolla","2014-2019",3662,1,"https://i.imgur.com/toyota-corolla-volante-2014.jpg","airbag, volante, toyota, corolla, 2014-2019, original, restaurado, envio gratis"
A44,"Airbag Volante VW Jetta 2010-2015 y Golf 2010-2014 - Original | Envío Gratis","Airbag volante original VW Jetta 2010-2015 y Golf 2010-2014. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original VW\n• Jetta 2010-2015 y Golf 2010-2014\n• Código OEM: 77900-TZ3-A44\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","VW","Jetta, Golf","2010-2015, 2010-2014",2110,1,"https://i.imgur.com/vw-jetta-golf-volante-2010.jpg","airbag, volante, vw, jetta, golf, 2010-2015, 2010-2014, original, restaurado, envio gratis"
A45,"Airbag Volante VW Passat 2004-2008 - Original | Envío Gratis","Airbag volante original VW Passat 2004-2008. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original VW\n• Passat 2004-2008\n• Código OEM: 77900-TZ3-A45\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","VW","Passat","2004-2008",1063,1,"https://i.imgur.com/vw-passat-volante-2004.jpg","airbag, volante, vw, passat, 2004-2008, original, restaurado, envio gratis"
A46,"Airbag Volante VW Jetta 2004-2009 - Original | Envío Gratis","Airbag volante original VW Jetta 2004-2009. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original VW\n• Jetta 2004-2009\n• Código OEM: 77900-TZ3-A46\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","VW","Jetta","2004-2009",1063,1,"https://i.imgur.com/vw-jetta-volante-2004.jpg","airbag, volante, vw, jetta, 2004-2009, original, restaurado, envio gratis"
